Idő,TB,ER,CPI
2006-Q1,943.739291583622,28.599,100
2006-Q2,545.88061174149,28.378,100.403551251009
2006-Q3,958.64064650457,28.337,101.129943502825
2006-Q4,959.206960490657,28.044,100.161420500404
2007-Q1,733.923030281414,28.037,101.493139628733
2007-Q2,806.982173174873,28.272,102.865213882163
2007-Q3,824.487312551448,27.941,103.753026634382
2007-Q4,1032.50577797659,26.826,105.044390637611
2008-Q1,566.18682522297,25.564,109.039548022599
2008-Q2,1084.09182440596,24.83,109.846650524617
2008-Q3,1220.43747146474,24.093,110.613397901533
2008-Q4,581.321022727273,25.344,109.927360774818
2009-Q1,922.140502155719,27.601,111.339790153349
2009-Q2,1368.2671764309,26.679,111.38014527845
2009-Q3,1721.41266554674,25.597,110.734463276836
2009-Q4,1883.07680438221,25.923,110.45197740113
2010-Q1,1409.19282511211,25.868,112.066182405165
2010-Q2,1280.41108202102,25.591,112.792574656981
2010-Q3,769.014762516046,24.928,112.873284907183
2010-Q4,1255.96030497398,24.789,112.71186440678
2011-Q1,1070.44102564103,24.375,114.043583535109
2011-Q2,1453.62604834731,24.324,114.769975786924
2011-Q3,1593.79997539673,24.387,114.891041162227
2011-Q4,1997.27013768001,25.276,115.375302663438
2012-Q1,1768.05932068251,25.084,118.200161420501
2012-Q2,1725.11773319087,25.269,118.64406779661
2012-Q3,2357.22829120485,25.082,118.64406779661
2012-Q4,1851.8695116621,25.167,118.684422921711
2013-Q1,2111.16761196949,25.565,120.338983050847
2013-Q2,2498.50954279741,25.831,120.46004842615
2013-Q3,2161.21920086644,25.853,120.137207425344
2013-Q4,2273.91402205717,26.658,120.056497175141
2014-Q1,2591.93936302019,27.442,120.540758676351
2014-Q2,2440.02769073818,27.446,120.661824051654
2014-Q3,2483.97842065245,27.619,120.863599677159
2014-Q4,2449.5475931958,27.63,120.581113801453
2015-Q1,2615.62409498986,27.624,120.661824051654
2015-Q2,2040.03068044852,27.379,121.468926553673
2015-Q3,2617.69159741459,27.075,121.307506053268
2015-Q4,2873.74801345308,27.057,120.702179176756
2016-Q1,3506.58284023669,27.04,121.226795803067
2016-Q2,3232.84023668639,27.04,121.791767554479
2016-Q3,3453.91986384994,27.029,121.953188054883
2016-Q4,3284.06526323578,27.029,122.477804681194
2017-Q1,3719.99555900966,27.021,124.172719935431
2017-Q2,3782.06142830224,26.535,124.495560936239
2017-Q3,3767.45255894192,26.085,125.060532687651
2017-Q4,3492.70955165692,25.65,125.665859564165
2018-Q1,3674.94685457838,25.402,126.472962066182
2018-Q2,3256.88503457166,25.599,127.320419693301
2018-Q3,2557.93607590015,25.718,128.046811945117
2018-Q4,3216.86514073616,25.864,128.288942695723
2019-Q1,3450.60935248997,25.683,129.903147699758
2019-Q2,4004.12676166005,25.686,130.91202582728
2019-Q3,3335.78145643895,25.734,131.678773204197
2019-Q4,2817.92235211323,25.577,132.163034705407
2020-Q1,3192.22816121103,25.631,134.584342211461
2020-Q2,1548.4514746101,27.058,134.98789346247
2020-Q3,4532.2330903735,26.479,136.037126715093
2020-Q4,5318.89601379983,26.667,135.633575464084
2021-Q1,3653.35634829306,26.07,137.530266343825
2021-Q2,2005.53865356112,25.638,138.902340597256
2021-Q3,652.705882352941,25.5,141.646489104116
2021-Q4,631.788444864822,25.374,143.946731234866
2022-Q1,48.2699874254655,24.653,152.986279257466
2022-Q2,-931.707515013797,24.644,160.815173527037
2022-Q3,97.4815899751821,24.579,166.545601291364
