Idő,TB,ER,CPI
2006-Q1,-1376.18004485475,3.8346,100
2006-Q2,-1223.95015450078,3.9482,100.840336134454
2006-Q3,-1642.96734704201,3.9537,101.176470588235
2006-Q4,-1929.36223296429,3.8478,101.27731092437
2007-Q1,-3124.56578236369,3.8863,102.016806722689
2007-Q2,-2758.63702144455,3.8005,103.294117647059
2007-Q3,-2550.13192612137,3.79,103.159663865546
2007-Q4,-3056.52744369123,3.6584,104.739495798319
2008-Q1,-4745.82622556559,3.5759,106.285714285714
2008-Q2,-5170.47255650133,3.407,107.697478991597
2008-Q3,-5161.75448142438,3.3081,107.932773109244
2008-Q4,-4098.59790748314,3.7658,108.504201680672
2009-Q1,-1393.66053169734,4.4988,109.949579831933
2009-Q2,-712.261078543673,4.4523,112.100840336135
2009-Q3,-915.527180904283,4.1978,112.268907563025
2009-Q4,-261.085159899388,4.1745,112.436974789916
2010-Q1,-1707.21613283503,3.9869,113.478991596639
2010-Q2,-1996.66426028728,4.0171,114.55462184874
2010-Q3,-2554.64365006112,4.0087,114.55462184874
2010-Q4,-2417.13306105985,3.9666,115.697478991596
2011-Q1,-1796.02128737962,3.946,117.983193277311
2011-Q2,-2426.91180927367,3.9596,119.697478991596
2011-Q3,-1780.1430394683,4.1527,119.226890756303
2011-Q4,-1950.32460922478,4.4207,120.806722689076
2012-Q1,-2079.85069337806,4.2329,122.756302521009
2012-Q2,-690.832257307197,4.2595,124.235294117647
2012-Q3,148.914567519219,4.1366,123.596638655462
2012-Q4,-142.66955231865,4.1123,124.134453781513
2013-Q1,741.854757206795,4.1558,124.403361344538
2013-Q2,1431.20861321519,4.1982,124.974789915966
2013-Q3,820.067330555365,4.2477,125.109243697479
2013-Q4,1583.85300934222,4.1853,125.142857142857
2014-Q1,-43.9739024448534,4.1843,125.344537815127
2014-Q2,675.027001080043,4.1665,125.378151260504
2014-Q3,917.479100294628,4.1747,124.806722689076
2014-Q4,431.539703647414,4.2112,124.36974789916
2015-Q1,2309.78390497543,4.1926,123.831932773109
2015-Q2,1710.1240124257,4.0883,124.436974789916
2015-Q3,1839.29125773098,4.1877,123.865546218487
2015-Q4,3368.2099634112,4.2636,123.394957983193
2016-Q1,3173.66901860166,4.3652,122.588235294117
2016-Q2,3363.10408709375,4.3723,123.159663865546
2016-Q3,3054.19923000669,4.3377,122.789915966387
2016-Q4,3360.18546011009,4.3783,123.697478991597
2017-Q1,2167.66189881035,4.3206,125.075630252101
2017-Q2,3362.69811141691,4.2148,125.478991596639
2017-Q3,4437.27834276722,4.2577,125.243697478992
2017-Q4,3139.31288691461,4.2322,126.655462184874
2018-Q1,2332.64739663093,4.1792,127.226890756303
2018-Q2,2400.60530699387,4.2623,127.899159663865
2018-Q3,3086.51701059676,4.3032,127.865546218487
2018-Q4,2413.60221431396,4.2993,128.571428571429
2019-Q1,3900.61837455831,4.3016,128.739495798319
2019-Q2,4147.32737080542,4.2823,130.924369747899
2019-Q3,5715.05650240831,4.3184,131.294117647059
2019-Q4,5818.1987823937,4.2871,132
2020-Q1,4679.77151314724,4.3241,134.621848739496
2020-Q2,6705.06584937925,4.5027,135.092436974791
2020-Q3,9648.00846598968,4.4413,135.260504201681
2020-Q4,9008.23511131828,4.5051,135.63025210084
2021-Q1,7198.07730382559,4.5457,138.386554621848
2021-Q2,5973.37219315096,4.5291,140.974789915966
2021-Q3,4850.30989246841,4.5661,142.386554621848
2021-Q4,1901.97734606805,4.6173,146.18487394958
2022-Q1,-547.371836469825,4.623,151.731092436974
2022-Q2,1166.22203098106,4.648,160.638655462185
2022-Q3,2873.28456689926,4.7437,165.714285714286
