Idő,TB,ER,CPI
2006-Q1,-683.194531741043,254.56,100
2006-Q2,-278.728029082187,266.83,101.908801696713
2006-Q3,-459.228059983298,275.41,103.499469777307
2006-Q4,85.971181556196,260.25,105.867797808413
2007-Q1,-30.6832593532023,252.32,108.518911276069
2007-Q2,-4.61922596754057,248.31,110.675150229763
2007-Q3,135.64053689143,251.82,111.417462000707
2007-Q4,43.4904690342482,252.86,113.396960056557
2008-Q1,-5.00578480524489,259.3,116.012725344645
2008-Q2,47.5890985324948,248.04,118.168964298339
2008-Q3,-176.278222561105,236.07,118.451749734889
2008-Q4,155.927247873633,263.36,118.204312477907
2009-Q1,360.790645501207,294.19,119.512195121951
2009-Q2,993.713905708586,285.71,122.410745846589
2009-Q3,989.485903814262,271.35,124.390243902439
2009-Q4,945.237743650325,270.88,124.35489572287
2010-Q1,1137.6657232236,268.52,126.687875574408
2010-Q2,1219.82535928688,274.85,128.950159066809
2010-Q3,996.031015436907,282.44,129.126899964652
2010-Q4,1390.23098959278,275.77,129.72781901732
2011-Q1,1488.40803142092,272.43,132.02545068929
2011-Q2,1498.78762855641,266.42,134.146341463414
2011-Q3,1422.54816430389,275.1,133.510074231177
2011-Q4,1439.61182324447,303.47,135.030045952634
2012-Q1,1175.83964965471,296.85,139.413220219159
2012-Q2,1723.28049527179,293.98,141.498762813715
2012-Q3,1835.95124536301,283.05,141.710851891127
2012-Q4,1399.50573698147,283.25,142.311770943797
2013-Q1,1552.94772344013,296.5,143.513609049134
2013-Q2,1481.70067336649,295.53,144.043831742666
2013-Q3,2013.10242985636,297.96,143.796394485684
2013-Q4,1571.08563359446,297.43,143.372216330859
2014-Q1,1679.3037378625,307.93,143.548957228703
2014-Q2,1113.93547121702,305.91,143.796394485684
2014-Q3,1741.39764283884,312.24,143.690349946978
2014-Q4,1679.69403299517,308.53,142.382467302935
2015-Q1,2422.10819385542,308.89,142.028985507247
2015-Q2,1732.80300555374,306.1,144.149876281371
2015-Q3,2126.68055110541,312.1,143.761046306116
2015-Q4,2435.17991364145,312.65,143.124779073878
2016-Q1,2269.37055316967,312.02,142.52386002121
2016-Q2,2526.26926636245,313.37,144.079179922234
2016-Q3,2706.23754099415,311.02,143.831742665253
2016-Q4,2269.11812245426,309.34,144.892188052316
2017-Q1,1764.3825423016,309.09,146.235418875927
2017-Q2,2364.12060950413,309.76,147.076705549664
2017-Q3,2188.55492461328,306.42,147.310003534819
2017-Q4,2079.65982028241,311.6,148.214916931778
2018-Q1,1668.8036523808,311.03,149.133969600566
2018-Q2,1626.93568726356,317.2,151.078119476847
2018-Q3,917.51874363642,324.11,152.386002120891
2018-Q4,1583.58823529412,323,153.022269353128
2019-Q1,1026.91956843132,317.91,153.83527748321
2019-Q2,1028.19766541784,322.97,156.733828207847
2019-Q3,841.493447119781,328.1,157.051961823966
2019-Q4,499.343235019432,331.93,158.218451749735
2020-Q1,755.23382673822,339.14,160.480735242135
2020-Q2,-739.62967176745,351.58,160.62212796041
2020-Q3,1471.76753393665,353.6,162.88441145281
2020-Q4,1157.53599467362,360.47,162.672322375398
2021-Q1,1438.09972038426,361.21,165.535524920467
2021-Q2,290.114229304752,354.55,168.964298338636
2021-Q3,-723.098878119083,353.87,171.014492753623
2021-Q4,-548.169493386026,364.38,174.195828914811
2022-Q1,-1549.81897970378,364.6,179.179922234006
2022-Q2,-1404.53049270404,385.83,186.850477200424
2022-Q3,-2192.0010906477,403.43,199.186991869919
