Idő,TB,ER,CPI
2006-Q1,-2254.64391941186,3.5638,100
2006-Q2,-2569.17434322757,3.5172,101.084407971864
2006-Q3,-3083.29803755471,3.5415,101.465416178195
2006-Q4,-3798.19493547182,3.4791,102.681711606096
2007-Q1,-4065.36141015024,3.3812,103.824736225088
2007-Q2,-4402.26905364604,3.2789,104.923798358734
2007-Q3,-4367.31536771758,3.2321,106.530871434154
2007-Q4,-5011.74287453971,3.4489,109.554513481829
2008-Q1,-5028.16710494212,3.6887,112.084798749512
2008-Q2,-5091.64590235755,3.6521,113.906799531067
2008-Q3,-5277.37083426526,3.5768,115.176826885502
2008-Q4,-3740.10218786847,3.8165,117.018366549433
2009-Q1,-2359.80038423691,4.2682,119.665885111372
2009-Q2,-1969.25863260491,4.1963,120.838218053927
2009-Q3,-1885.92859001964,4.2263,120.926143024619
2009-Q4,-1837.55857544517,4.268,122.357366158656
2010-Q1,-2433.5480734168,4.1135,125.205158264947
2010-Q2,-2402.5899555598,4.1854,126.099062133646
2010-Q3,-1643.50339576528,4.2553,129.982415005861
2010-Q4,-1785.27793322141,4.2888,131.970496287612
2011-Q1,-1362.69307305979,4.2212,134.64243845252
2011-Q2,-2495.62569481367,4.1378,136.479093395857
2011-Q3,-1955.03322610186,4.2587,135.423993747558
2011-Q4,-1829.77055228871,4.3365,136.425361469323
2012-Q1,-2207.81935543151,4.3533,138.10082063306
2012-Q2,-2245.50154651977,4.4293,139.038686987105
2012-Q3,-1874.99723787427,4.5255,140.93395857757
2012-Q4,-1218.46846846847,4.5288,143.005080109418
2013-Q1,-372.597743075345,4.3865,145.872411098086
2013-Q2,-211.929569134173,4.3958,146.448808128176
2013-Q3,-490.002251745102,4.441,145.598866744822
2013-Q4,-39.4553543342484,4.4506,145.515826494724
2014-Q1,59.3918663794048,4.5023,147.406213364595
2014-Q2,-145.652566883584,4.4256,147.821414615083
2014-Q3,-106.646128754588,4.4146,147.21570926143
2014-Q4,-290.035185853484,4.4336,147.225478702618
2015-Q1,-119.21556294366,4.4516,148.191685562873
2015-Q2,-74.1190765492122,4.4442,147.945491715357
2015-Q3,-384.669225558816,4.429,144.628017276763
2015-Q4,-498.395889888497,4.4573,145.400066158904
2016-Q1,-942.83679102484,4.4924,144.348378272763
2016-Q2,-409.616325078913,4.4986,144.270222743259
2016-Q3,-432.58074631546,4.4646,143.884329816335
2016-Q4,-406.177194967714,4.5069,144.607268464244
2017-Q1,-706.415728597651,4.5217,144.558421258304
2017-Q2,-1112.20679961346,4.5532,145.281359906213
2017-Q3,-1008.66396054297,4.5822,145.965220789371
2017-Q4,-1632.48825477927,4.6189,149.032825322391
2018-Q1,-1002.92140141344,4.6553,151.289566236812
2018-Q2,-1729.62692340755,4.6532,153.038296209457
2018-Q3,-1732.17705665899,4.6471,153.096912856585
2018-Q4,-2360.71236991739,4.6605,154.4646346229
2019-Q1,-2494.15093542802,4.7358,156.931418522861
2019-Q2,-1794.1449031171,4.748,159.183274716686
2019-Q3,-2303.94809147398,4.7314,158.963462289957
2019-Q4,-2422.229681534,4.7666,160.233489644392
2020-Q1,-3461.65551456027,4.7973,162.001758499414
2020-Q2,-2283.7653478854,4.8378,163.178976162563
2020-Q3,-1924.5263548933,4.8454,163.169206721375
2020-Q4,-2576.97360318568,4.8718,163.67721766315
2021-Q1,-2851.00321767467,4.8793,166.969519343493
2021-Q2,-3486.0479285134,4.924,169.128565846034
2021-Q3,-3327.29779598126,4.9319,172.137553731927
2021-Q4,-3680.43403584635,4.9489,176.734075810864
2022-Q1,-4668.87698372587,4.9465,182.019343493553
2022-Q2,-4429.9176929766,4.9449,193.552168815944
2022-Q3,-5140.2987504579,4.9138,198.622508792497
